State/UT,Rape Other than Custodial (Total),By Relative/Guardian/Teacher/person in position of trust (Sec.376(2) (f),On Pregnant Women (Sec.376(2) (h),On Women Below 16 years of age (Sec.376(2) (i),On Women Incapable of giving Consent (Sec.376(2) (j),By Persons in Control or Dominance over women (Sec.376(2) (k),On Women with Mental or Physical disability (Sec.376(2)(l),Endanger life of Women after Rape (Sec.376(2)(m),Repeated Rape on same women (Sec.376(2)(n),Other Custodial Rapes,Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)),Punishment for causing Death (Sec.376(A))
Andhra Pradesh,297,19,0,108,0,1,9,0,79,81,59,1
Arunachal Pradesh,22,4,0,15,1,0,1,0,1,0,0,0
Assam,148,90,0,10,0,43,0,0,0,5,0,0
Bihar,17,11,0,0,0,0,2,0,1,3,0,0
Chhattisgarh,743,340,0,354,30,0,2,0,17,0,10,5
Goa,3,2,0,1,0,0,0,0,0,0,1,0
Gujarat,47,9,0,0,2,0,3,3,30,0,0,1
Haryana,196,11,0,0,0,0,1,0,183,1,1,14
Himachal Pradesh,71,43,1,25,0,0,1,0,1,0,10,0
Jharkhand,110,49,0,0,0,0,0,0,61,0,0,0
Karnataka,44,24,0,0,0,0,6,0,14,0,0,0
Kerala,645,207,6,181,2,6,9,1,233,0,10,2
Madhya Pradesh,2314,270,13,485,62,12,17,7,1444,4,84,11
Maharashtra,471,151,0,82,24,0,20,0,191,3,0,1
Manipur,11,11,0,0,0,0,0,0,0,0,0,0
Meghalaya,27,1,0,24,0,0,2,0,0,0,0,0
Mizoram,4,1,0,1,0,0,1,0,1,0,1,0
Nagaland,1,1,0,0,0,0,0,0,0,0,0,0
Odisha,426,384,0,7,0,0,1,1,33,0,2,0
Punjab,43,1,0,30,10,0,0,0,2,0,13,0
Rajasthan,765,248,3,109,237,73,1,2,92,0,16,1
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,7,5,0,0,0,1,1,0,0,0,0,0
Telangana,114,15,0,15,28,0,1,1,53,1,0,1
Tripura,1,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,121,48,1,72,0,0,0,0,0,0,0,4
Uttarakhand,232,224,0,8,0,0,0,0,0,0,0,0
West Bengal,12,0,0,0,0,0,7,1,4,0,0,0
A&N Islands,1,0,0,0,0,0,0,0,1,0,0,0
Chandigarh,17,0,0,3,0,0,1,0,13,0,12,0
D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,26,7,0,0,0,0,0,0,18,1,0,0
Jammu & Kashmir,65,49,0,16,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
